Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-1.3731,1.7832,0.5929,0.4413
age,,1,-0.5106,0.1382,13.6438,0.0002
fage,,1,-1.1576,0.4158,7.7505,0.0054
r1stfeduc,2,1,2.578,0.9281,7.7167,0.0055
r1stfeduc,3,1,2.6675,0.9144,8.5094,0.0035
pregsmk,,1,0.067,0.0152,19.4796,<.0001
z1single,1,1,-2.0568,0.4273,23.1735,<.0001
kids,,1,-0.3733,0.1107,11.379,0.0007
householdsize,,1,0.1985,0.0766,6.7192,0.0095
mhrswrk,,1,0.0179,0.00857,4.3746,0.0365
welfare,1,1,1.13,0.3221,12.3089,0.0005
NPRESCH,,1,0.559,0.1459,14.675,0.0001
INTERACT,,1,0.1608,0.0818,3.8673,0.0492
age*fage,,1,0.1008,0.0424,5.657,0.0174
