Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,6.3196,1.4262,19.6331,<.0001
age,,1,-2.0259,0.5908,11.7577,0.0006
age*age,,1,0.1732,0.0697,6.1787,0.0129
r1stchildethn,2,1,-1.2073,0.432,7.8108,0.0052
r1stchildethn,3,1,0.216,0.6377,0.1147,0.7348
MAGE,,1,-0.1792,0.0412,18.9637,<.0001
z1single0,1,1,-1.564,0.5614,7.7619,0.0053
BREAST,,1,0.0798,0.0603,1.7553,0.1852
pregalc,,1,0.1049,0.0549,3.643,0.0563
z1twin,1,1,-1.0759,0.522,4.2488,0.0393
kids,,1,0.5046,0.1585,10.1423,0.0014
householdsize,,1,-0.3504,0.1218,8.2728,0.004
fhrswrk,,1,0.00141,0.00529,0.0715,0.7891
welfare,1,1,0.7122,0.1883,14.3042,0.0002
age*MAGE,,1,0.0429,0.0118,13.2016,0.0003
age*z1single0,1,1,0.5174,0.1625,10.1344,0.0015
age*BREAST,,1,-0.0516,0.018,8.1843,0.0042
age*pregalc,,1,-0.0497,0.0174,8.161,0.0043
kids*r1stchildethn,2,1,0.0254,0.1914,0.0176,0.8946
kids*r1stchildethn,3,1,-0.4626,0.1889,5.9967,0.0143
householdsize*r1stchildethn,2,1,0.0165,0.1417,0.0135,0.9073
householdsize*r1stchildethn,3,1,0.3091,0.1463,4.462,0.0347
fhrswrk*r1stchildethn,2,1,0.0263,0.00669,15.4724,<.0001
fhrswrk*r1stchildethn,3,1,-0.00384,0.0103,0.1387,0.7096
