Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,36.443,9.253,15.5119,<.0001
z1gender,1,1,-0.3168,0.1,10.0369,0.0015
r1stchildethn,2,1,-13.2065,2.5542,26.7339,<.0001
r1stchildethn,3,1,-11.1934,5.6104,3.9805,0.046
r1stmeduc,2,1,0.4091,0.2553,2.568,0.109
r1stmeduc,3,1,-0.1812,0.255,0.5049,0.4774
r1stfeduc,2,1,-0.7332,0.2429,9.1095,0.0025
r1stfeduc,3,1,-0.5597,0.2419,5.3545,0.0207
SESBTH,2,1,0.4521,0.2244,4.0599,0.0439
SESBTH,3,1,0.8985,0.2454,13.4107,0.0003
bwkg,,1,0.3586,0.1387,6.6857,0.0097
ga,,1,-1.9549,0.4804,16.5569,<.0001
ga*ga,,1,0.0244,0.00624,15.341,<.0001
pregsmk,,1,0.00497,0.00742,0.4489,0.5029
pregalc,,1,0.1672,0.0263,40.4688,<.0001
pregalc*pregalc,,1,-0.00339,0.000718,22.2373,<.0001
z1single,1,1,-1.3744,0.159,74.744,<.0001
mhrswrk,,1,0.0621,0.00394,249.0537,<.0001
fhrswrk,,1,0.0608,0.00743,66.9535,<.0001
fhrswrk*fhrswrk,,1,-0.00042,0.000127,10.7335,0.0011
INTERACT,,1,-0.0538,0.0377,2.0396,0.1532
SESBTH_eth,5,1,1.2381,0.401,9.5343,0.002
SESBTH_eth,8,1,0.0767,0.4075,0.0354,0.8508
SESBTH_eth,6,1,1.1355,1.1418,0.9889,0.32
SESBTH_eth,9,1,1.1189,1.1262,0.987,0.3205
bwkg*r1stchildethn,2,1,-1.2709,0.2184,33.8672,<.0001
bwkg*r1stchildethn,3,1,-0.6666,0.4611,2.0901,0.1483
ga*r1stchildethn,2,1,0.3918,0.0683,32.8605,<.0001
ga*r1stchildethn,3,1,0.3218,0.1601,4.0409,0.0444
pregsmk*r1stchildethn,2,1,-0.0466,0.012,14.9783,0.0001
pregsmk*r1stchildethn,3,1,-0.0141,0.0423,0.1117,0.7382
z1single_eth,2,1,0.6287,0.2185,8.2772,0.004
z1single_eth,3,1,-1.3531,0.5819,5.4063,0.0201
INTERACT*r1stchildethn,2,1,0.1784,0.0578,9.5331,0.002
INTERACT*r1stchildethn,3,1,0.0401,0.1062,0.1427,0.7056
