Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,0.7614,0.8781,0.7519,0.3859
age,,1,-1.2594,0.1905,43.7245,<.0001
z1gender,1,1,0.1357,0.1224,1.2291,0.2676
r1stchildethn,2,1,2.1164,0.7739,7.4777,0.0062
r1stchildethn,3,1,3.0044,1.2759,5.545,0.0185
MAGE,,1,-0.1391,0.0186,55.7177,<.0001
fage,,1,-0.3686,0.1892,3.7968,0.0514
fage*fage,,1,0.069,0.0256,7.2538,0.0071
r1stmeduc,2,1,-0.0112,0.1955,0.0033,0.9544
r1stmeduc,3,1,-0.0495,0.1831,0.0731,0.7869
z1single0,1,1,0.5718,0.1621,12.435,0.0004
bthorder,,1,-1.9878,0.2317,73.6236,<.0001
kids,,1,2.4034,0.2419,98.7001,<.0001
householdsize,,1,-0.1087,0.1614,0.4538,0.5005
fhrswrk,,1,-0.0221,0.009,6.041,0.014
age*r1stchildethn,2,1,-0.329,0.095,11.9903,0.0005
age*r1stchildethn,3,1,0.0338,0.1902,0.0316,0.859
age*bthorder,,1,0.4392,0.0547,64.343,<.0001
age*kids,,1,-0.5689,0.0591,92.5801,<.0001
age*householdsize,,1,0.3079,0.0396,60.452,<.0001
age*fhrswrk,,1,0.0078,0.00236,10.9114,0.001
z1gender_eth,2,1,-0.6444,0.1997,10.4137,0.0013
z1gender_eth,3,1,-0.2371,0.3468,0.4672,0.4943
MAGE*r1stchildethn,2,1,0.0816,0.0244,11.2035,0.0008
MAGE*r1stchildethn,3,1,0.0295,0.0361,0.6696,0.4132
r1stmeduc_eth,5,1,-0.681,0.4252,2.5656,0.1092
r1stmeduc_eth,6,1,0.1887,0.3993,0.2235,0.6364
r1stmeduc_eth,8,1,0.429,0.6675,0.4132,0.5204
r1stmeduc_eth,9,1,0.5654,0.6749,0.7019,0.4021
kids*r1stchildethn,2,1,0.212,0.1204,3.101,0.0782
kids*r1stchildethn,3,1,0.6222,0.1705,13.3171,0.0003
householdsize*r1stchildethn,2,1,-0.567,0.0986,33.0699,<.0001
householdsize*r1stchildethn,3,1,-1.0401,0.111,87.8459,<.0001
