Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-70.0692,16.0964,18.9494,<.0001
age,,1,0.2475,0.2005,1.5231,0.2172
age*age,,1,-0.0276,0.0104,7.0527,0.0079
z1gender,1,1,-0.3564,0.1089,10.7103,0.0011
r1stchildethn,2,1,1.7523,1.0245,2.9255,0.0872
r1stchildethn,3,1,-3.6961,1.7696,4.3626,0.0367
fage,,1,-0.2061,0.0465,19.6279,<.0001
r1stfeduc,2,1,0.7408,0.739,1.005,0.3161
r1stfeduc,3,1,-0.7321,0.6811,1.1552,0.2825
SESBTH,2,1,0.1641,0.1671,0.9649,0.3259
SESBTH,3,1,0.4773,0.1949,5.9952,0.0143
bwkg,,1,-0.3528,0.1146,9.4818,0.0021
ga,,1,3.6364,0.828,19.2863,<.0001
ga*ga,,1,-0.048,0.0106,20.3828,<.0001
BREAST,,1,-0.0682,0.0134,26.0514,<.0001
pregalc,,1,0.056,0.00911,37.8605,<.0001
z1single,1,1,-1.9054,0.434,19.2771,<.0001
householdsize,,1,-0.0402,0.0458,0.7731,0.3792
fhrswrk,,1,-0.0129,0.0032,16.2602,<.0001
mhrswrk,,1,0.0101,0.0154,0.4268,0.5136
mhrswrk*mhrswrk,,1,-0.00098,0.000212,21.1781,<.0001
welfare,1,1,0.6957,0.1699,16.7664,<.0001
NPRESCH,,1,-0.2162,0.0593,13.3004,0.0003
INTERACT,,1,0.1175,0.031,14.3325,0.0002
age*r1stfeduc,2,1,-0.0367,0.0809,0.2059,0.65
age*r1stfeduc,3,1,0.1768,0.0732,5.8357,0.0157
age*mhrswrk,,1,0.00469,0.0015,9.8079,0.0017
z1gender_eth,2,1,1.4107,0.265,28.3386,<.0001
z1gender_eth,3,1,0.0879,0.4307,0.0417,0.8382
eth_r1stfeduc,5,1,-1.7318,0.5767,9.016,0.0027
eth_r1stfeduc,6,1,-2.8456,0.5508,26.6912,<.0001
eth_r1stfeduc,8,1,0.4534,0.9537,0.226,0.6345
eth_r1stfeduc,9,1,0.6676,0.9114,0.5366,0.4639
SESBTH_eth,5,1,-0.7648,0.4569,2.8023,0.0941
SESBTH_eth,8,1,0.5745,0.4805,1.429,0.2319
SESBTH_eth,6,1,-0.659,1.0208,0.4168,0.5185
SESBTH_eth,9,1,-0.648,1.0462,0.3836,0.5357
bwkg*r1stchildethn,2,1,-0.6861,0.2396,8.2011,0.0042
bwkg*r1stchildethn,3,1,0.9712,0.3807,6.5087,0.0107
householdsize*r1stchildethn,2,1,0.379,0.0694,29.8213,<.0001
householdsize*r1stchildethn,3,1,0.1184,0.0853,1.9278,0.165
