Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-10.9381,1.0354,111.6043,<.0001
age,,1,0.4818,0.0561,73.8884,<.0001
r1stmeduc,2,1,0.4609,0.1676,7.5678,0.0059
r1stmeduc,3,1,0.666,0.1657,16.1589,<.0001
SESBTH,2,1,0.5119,0.1165,19.2921,<.0001
SESBTH,3,1,0.5026,0.1248,16.2273,<.0001
ga,,1,0.0734,0.0212,11.9475,0.0005
BREAST,,1,-0.0359,0.0115,9.7935,0.0018
pregsmk,,1,0.0202,0.00473,18.1496,<.0001
z1single,1,1,6.8403,0.4137,273.3895,<.0001
kids,,1,0.2289,0.0333,47.2307,<.0001
householdsize,,1,0.4873,0.08,37.1382,<.0001
mhrswrk,,1,-0.0512,0.00309,274.3596,<.0001
fhrswrk,,1,-0.0493,0.00905,29.6953,<.0001
fhrswrk*fhrswrk,,1,0.000567,0.000092,37.905,<.0001
age*z1single,1,1,-0.4514,0.0412,120.0907,<.0001
age*householdsize,,1,-0.0308,0.00832,13.72,0.0002
age*fhrswrk,,1,-0.00317,0.000766,17.1895,<.0001
