Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,2.4276,1.1866,4.1851,0.0408
age,,1,-0.0861,0.0643,1.7961,0.1802
r1stchildethn,2,1,-2.1562,1.6975,1.6134,0.204
r1stchildethn,3,1,-4.8994,3.1571,2.4082,0.1207
MAGE,,1,0.0661,0.00901,53.7328,<.0001
fage,,1,0.1272,0.1712,0.5519,0.4575
fage*fage,,1,-0.0844,0.0163,26.7092,<.0001
r1stmeduc,2,1,0.3636,0.4018,0.8189,0.3655
r1stmeduc,3,1,-0.7498,0.3766,3.9646,0.0465
r1stfeduc,2,1,0.1706,0.0975,3.0649,0.08
r1stfeduc,3,1,0.4336,0.0959,20.4354,<.0001
bwkg,,1,2.0253,0.4379,21.3859,<.0001
bwkg*bwkg,,1,-0.2404,0.0643,13.9954,0.0002
ga,,1,-0.1645,0.0253,42.2186,<.0001
BREAST,,1,0.0392,0.0247,2.5214,0.1123
BREAST*BREAST,,1,-0.00607,0.00215,7.9887,0.0047
pregalc,,1,0.0566,0.0126,20.145,<.0001
z1twin,1,1,1.0852,0.2845,14.5523,0.0001
NPRESCH,,1,-0.3304,0.1429,5.3453,0.0208
age*r1stchildethn,2,1,-0.0546,0.0279,3.819,0.0507
age*r1stchildethn,3,1,0.1219,0.0845,2.0832,0.1489
age*fage,,1,0.0371,0.0106,12.2612,0.0005
age*r1stmeduc,2,1,-0.0731,0.0416,3.0983,0.0784
age*r1stmeduc,3,1,0.0225,0.039,0.3335,0.5636
age*NPRESCH,,1,0.0527,0.0146,13.0717,0.0003
fage*r1stchildethn,2,1,-0.0996,0.055,3.2757,0.0703
fage*r1stchildethn,3,1,0.254,0.1173,4.688,0.0304
bwkg*r1stchildethn,2,1,-0.6117,0.1351,20.5012,<.0001
bwkg*r1stchildethn,3,1,-0.2946,0.2776,1.1262,0.2886
ga*r1stchildethn,2,1,0.1207,0.0456,7.0002,0.0082
ga*r1stchildethn,3,1,0.0986,0.0843,1.3698,0.2418
pregalc*r1stchildethn,2,1,-0.0555,0.015,13.6653,0.0002
pregalc*r1stchildethn,3,1,-0.0584,0.0253,5.3338,0.0209
z1twin_eth,2,1,-1.7297,0.6038,8.2058,0.0042
z1twin_eth,3,1,-1.5258,0.7027,4.7145,0.0299
