Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-2.9596,0.5643,27.5044,<.0001
age,,1,-0.00114,0.0445,0.0007,0.9795
z1gender,1,1,0.463,0.1368,11.4507,0.0007
r1stchildethn,2,1,1.8434,0.3574,26.6044,<.0001
r1stchildethn,3,1,0.0325,0.5154,0.004,0.9497
r1stfeduc,2,1,1.47,0.3252,20.4344,<.0001
r1stfeduc,3,1,1.6358,0.3122,27.4592,<.0001
SESBTH,2,1,-1.0823,0.2425,19.9276,<.0001
SESBTH,3,1,-1.0439,0.2479,17.7289,<.0001
z1single0,1,1,0.2663,0.2906,0.8401,0.3594
BREAST,,1,0.0664,0.0199,11.0999,0.0009
kids,,1,0.3707,0.0613,36.5578,<.0001
z1accom,1,1,1.2663,0.228,30.8454,<.0001
fsmoke,,1,0.1175,0.029,16.3921,<.0001
msmoke,,1,-0.0358,0.0159,5.0852,0.0241
msmoke*msmoke,,1,0.00211,0.000533,15.6761,<.0001
NPRESCH,,1,0.3272,0.074,19.528,<.0001
age*fsmoke,,1,-0.0143,0.00307,21.7382,<.0001
z1single0_eth,2,1,-1.3196,0.3877,11.5837,0.0007
z1single0_eth,3,1,0.6327,0.9092,0.4843,0.4865
kids*r1stchildethn,2,1,-0.4797,0.1086,19.5039,<.0001
kids*r1stchildethn,3,1,-0.3152,0.1273,6.1315,0.0133
