Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-0.5868,1.1479,0.2614,0.6092
r1stchildethn,2,1,-2.0695,0.6379,10.5237,0.0012
r1stchildethn,3,1,-2.1237,0.9028,5.5333,0.0187
fage,,1,-0.6375,0.2051,9.664,0.0019
r1stmeduc,2,1,0.906,1.0667,0.7215,0.3957
r1stmeduc,3,1,2.0848,0.9956,4.3848,0.0363
pregsmk,,1,0.0827,0.0287,8.3085,0.0039
pregalc,,1,0.3395,0.1196,8.0527,0.0045
bthorder,,1,0.8794,0.2653,10.9847,0.0009
z1single,1,1,-3.213,1.3639,5.5494,0.0185
kids,,1,-0.9956,0.2693,13.6686,0.0002
mhrswrk,,1,0.2121,0.0736,8.2932,0.004
mhrswrk*mhrswrk,,1,-0.00486,0.00217,4.9938,0.0254
