Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,1.2671,0.1003,2646,12.63,<.0001
r1stchildethn,4,-0.2375,0.0787,2646,-3.02,0.0026
r1stchildethn,1,-0.2375,0.0787,2646,-3.02,0.0026
r1stchildethn,2,-0.2481,0.1123,2646,-2.21,0.0272
r1stchildethn,3,0,,,,
fage,,0.1404,0.04576,2646,3.07,0.0022
fage*fage,,-0.01775,0.005465,2646,-3.25,0.0012
r1stmeduc,1,0.09239,0.02992,2646,3.09,0.002
r1stmeduc,2,0.02802,0.02158,2646,1.3,0.1943
r1stmeduc,3,0,,,,
r1stfeduc,1,-0.09834,0.03331,2646,-2.95,0.0032
r1stfeduc,2,-0.0361,0.02287,2646,-1.58,0.1145
r1stfeduc,3,0,,,,
SESBTH,1,0.08575,0.03571,2646,2.4,0.0164
SESBTH,2,0.02645,0.02207,2646,1.2,0.231
SESBTH,3,0,,,,
gptotvis_previous,,0.03086,0.003038,2646,10.16,<.0001
kids_previous,,-0.01615,0.006642,2646,-2.43,0.0151
fage*r1stchildethn,4,-0.00085,0.0176,2646,-0.05,0.9614
fage*r1stchildethn,1,-0.00085,0.0176,2646,-0.05,0.9614
fage*r1stchildethn,2,0.06294,0.02645,2646,2.38,0.0174
fage*r1stchildethn,3,0,,,,
gptotvis_previous*r1stchildethn,4,0.03426,0.005363,2646,6.39,<.0001
gptotvis_previous*r1stchildethn,1,0.03426,0.005363,2646,6.39,<.0001
gptotvis_previous*r1stchildethn,2,0.007642,0.007039,2646,1.09,0.2777
gptotvis_previous*r1stchildethn,3,0,,,,
_Alpha,,0.02308,0.002684,,,
