Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-0.9184,0.1814,8864,-5.06,<.0001
age,,0.2434,0.08945,8864,2.72,0.0065
age*age,,-0.06833,0.01316,8864,-5.19,<.0001
r1stchildethn,4,-0.5174,0.1466,8864,-3.53,0.0004
r1stchildethn,1,-0.5174,0.1466,8864,-3.53,0.0004
r1stchildethn,2,0.05399,0.1833,8864,0.29,0.7684
r1stchildethn,3,0,,,,
r1stfeduc,1,0.02993,0.09195,8864,0.33,0.7448
r1stfeduc,2,0.004923,0.06691,8864,0.07,0.9414
r1stfeduc,3,0,,,,
SESBTH,1,-0.0059,0.1122,8864,-0.05,0.9581
SESBTH,2,0.003899,0.06068,8864,0.06,0.9488
SESBTH,3,0,,,,
gpresp_previous,,0.06539,0.005396,8864,12.12,<.0001
fhrswrk_previous,,-0.0009,0.001558,8864,-0.58,0.5635
z1homeown_previous,1,-0.1143,0.02914,8864,-3.92,<.0001
fsmoke_previous,,0.003297,0.001407,8864,2.34,0.0192
gptotvis,,0.1216,0.01211,8864,10.04,<.0001
age*r1stchildethn,4,0.2213,0.03271,8864,6.77,<.0001
age*r1stchildethn,1,0.2213,0.03271,8864,6.77,<.0001
age*r1stchildethn,2,0.1762,0.04088,8864,4.31,<.0001
age*r1stchildethn,3,0,,,,
age*gptotvis,,0.01174,0.002914,8864,4.03,<.0001
eth_r1stfeduc,1,0.01537,0.1033,8864,0.15,0.8817
eth_r1stfeduc,2,-0.00414,0.07464,8864,-0.06,0.9558
eth_r1stfeduc,3,0,,,,
eth_r1stfeduc,4,-0.847,0.186,8864,-4.55,<.0001
eth_r1stfeduc,5,-0.1078,0.1025,8864,-1.05,0.2932
eth_r1stfeduc,6,0,,,,
eth_r1stfeduc,7,0,,,,
eth_r1stfeduc,8,0,,,,
eth_r1stfeduc,9,0,,,,
SESBTH_eth,1,0.01498,0.123,8864,0.12,0.903
SESBTH_eth,4,0.05376,0.07077,8864,0.76,0.4475
SESBTH_eth,7,0,,,,
SESBTH_eth,2,0.33,0.1629,8864,2.03,0.0428
SESBTH_eth,5,-0.09683,0.09434,8864,-1.03,0.3048
SESBTH_eth,8,0,,,,
SESBTH_eth,3,0,,,,
SESBTH_eth,6,0,,,,
SESBTH_eth,9,0,,,,
fhrswrk_previous*r1stchildethn,4,0.00006,0.001803,8864,0.03,0.9735
fhrswrk_previous*r1stchildethn,1,0.00006,0.001803,8864,0.03,0.9735
fhrswrk_previous*r1stchildethn,2,-0.00103,0.002301,8864,-0.45,0.6554
fhrswrk_previous*r1stchildethn,3,0,,,,
gptotvis*r1stchildethn,4,0.05204,0.00916,8864,5.68,<.0001
gptotvis*r1stchildethn,1,0.05204,0.00916,8864,5.68,<.0001
gptotvis*r1stchildethn,2,-0.01303,0.01087,8864,-1.2,0.2303
gptotvis*r1stchildethn,3,0,,,,
_Alpha,,0.238,0.01089,,,
