Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,0.7323,0.03232,2652,22.66,<.0001
r1stchildethn,4,-0.1547,0.03912,2652,-3.95,<.0001
r1stchildethn,1,-0.1547,0.03912,2652,-3.95,<.0001
r1stchildethn,2,-0.2057,0.07761,2652,-2.65,0.0081
r1stchildethn,3,0,,,,
z1single_previous,1,0.03143,0.04138,2652,0.76,0.4476
z1chpar_previous,1,-0.00135,0.03829,2652,-0.04,0.9719
gptotvis,,0.09867,0.004654,2652,21.2,<.0001
gpresp,,0.06264,0.005042,2652,12.42,<.0001
z1chpar_previous_eth,1,0.1172,0.06387,2652,1.83,0.0667
z1chpar_previous_eth,2,-0.113,0.1006,2652,-1.12,0.2613
z1chpar_previous_eth,3,0,,,,
gptotvis*r1stchildethn,4,-0.01979,0.004498,2652,-4.4,<.0001
gptotvis*r1stchildethn,1,-0.01979,0.004498,2652,-4.4,<.0001
gptotvis*r1stchildethn,2,0.01732,0.009083,2652,1.91,0.0567
gptotvis*r1stchildethn,3,0,,,,
_Alpha,,0.00464,0.001716,,,
