Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,1.6035,1.4105,1.2923,0.2556
r1stchildethn,2,1,0.0749,0.1171,0.4092,0.5224
r1stchildethn,3,1,-0.2291,0.2426,0.8922,0.3449
MAGE,,1,-0.0723,0.00932,60.1982,<.0001
r1stfeduc,2,1,-0.1471,0.1348,1.1913,0.2751
r1stfeduc,3,1,-0.4381,0.1247,12.334,0.0004
bwkg,,1,-0.2905,0.0888,10.6985,0.0011
ga,,1,0.0646,0.0273,5.6155,0.0178
pregalc,,1,-0.0335,0.0119,7.9113,0.0049
kids_previous,,1,-0.0919,0.0468,3.8456,0.0499
householdsize_previous,,1,0.1108,0.0341,10.5523,0.0012
welfare_previous,1,1,0.1861,0.1391,1.7903,0.1809
typeofchange,2,1,-1.6262,0.9892,2.7025,0.1002
typeofchange,3,1,-1.5047,1.2253,1.5081,0.2194
typeofchange,4,1,-1.3502,0.9917,1.8539,0.1733
typeofchange,5,1,-2.2989,0.9766,5.5412,0.0186
NPRESCH,,1,-0.1133,0.0472,5.7471,0.0165
welfare_previous_eth,2,1,0.6127,0.1962,9.7525,0.0018
welfare_previous_eth,3,1,-0.3132,0.4444,0.4969,0.4809
