Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,6.0817,3.8768,4206,1.57,0.1168
r1stchildethn,4,1.142,3.9426,4206,0.29,0.7721
r1stchildethn,1,1.142,3.9426,4206,0.29,0.7721
r1stchildethn,2,-0.0864,4.016,4206,-0.02,0.9828
r1stchildethn,3,0,,,,
MAGE,,-0.06715,0.1459,4206,-0.46,0.6453
fage,,0.8749,0.6904,4206,1.27,0.2051
r1stfeduc,1,-1.788,0.4945,4206,-3.62,0.0003
r1stfeduc,2,-0.1616,0.2704,4206,-0.6,0.5502
r1stfeduc,3,0,,,,
SESBTH,1,0.1368,0.4144,4206,0.33,0.7413
SESBTH,2,-0.681,0.2559,4206,-2.66,0.0078
SESBTH,3,0,,,,
BREAST,,-0.5752,0.1912,4206,-3.01,0.0026
BREAST*BREAST,,0.0361,0.009154,4206,3.94,<.0001
pregsmk,,-0.06697,0.0307,4206,-2.18,0.0292
pregsmk*pregsmk,,0.004649,0.001073,4206,4.33,<.0001
pregalc,,0.06005,0.02047,4206,2.93,0.0034
INTERACT,,1.1809,0.3787,4206,3.12,0.0018
INTERACT*INTERACT,,-0.09501,0.02272,4206,-4.18,<.0001
fsmoke_previous,,0.5241,0.01121,4206,46.73,<.0001
z1single,1,-2.2784,3.9486,4206,-0.58,0.564
MAGE*r1stchildethn,4,0.0186,0.1525,4206,0.12,0.9029
MAGE*r1stchildethn,1,0.0186,0.1525,4206,0.12,0.9029
MAGE*r1stchildethn,2,0.6254,0.1605,4206,3.9,<.0001
MAGE*r1stchildethn,3,0,,,,
fage*r1stchildethn,4,-0.7263,0.7161,4206,-1.01,0.3105
fage*r1stchildethn,1,-0.7263,0.7161,4206,-1.01,0.3105
fage*r1stchildethn,2,-3.2635,0.7518,4206,-4.34,<.0001
fage*r1stchildethn,3,0,,,,
BREAST*r1stchildethn,4,0.09805,0.1559,4206,0.63,0.5295
BREAST*r1stchildethn,1,0.09805,0.1559,4206,0.63,0.5295
BREAST*r1stchildethn,2,0.351,0.1676,4206,2.09,0.0363
BREAST*r1stchildethn,3,0,,,,
INTERACT*r1stchildethn,4,0.01039,0.2719,4206,0.04,0.9695
INTERACT*r1stchildethn,1,0.01039,0.2719,4206,0.04,0.9695
INTERACT*r1stchildethn,2,-0.6508,0.283,4206,-2.3,0.0215
INTERACT*r1stchildethn,3,0,,,,
z1single_eth,1,1.5374,4.0182,4206,0.38,0.702
z1single_eth,2,-2.7457,4.0457,4206,-0.68,0.4974
z1single_eth,3,0,,,,
_sd,,7.643251926,1.2739,,,
